entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,location,package_count,task_duration_mins
RoboPack-1,position_poll,position,864.0,,,,,300.0,400.0,,,
RoboPack-1,queue,pickup_3,864.0,,,,,300.0,300.0,,4.0,
RoboPack-1,position_poll,position,865.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,866.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,867.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,868.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,869.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,870.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,871.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,872.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,873.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,874.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,875.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,876.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,877.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,878.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,879.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,880.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,881.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,882.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,883.0,,,,,300.0,300.0,,,
RoboPack-1,queue,packing,884.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,884.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,885.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,886.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,887.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,888.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,889.0,,,,,200.0,300.0,,,
RoboPack-1,position_poll,position,890.0,,,,,100.0,300.0,,,
RoboPack-1,position_poll,position,891.0,,,,,0.0,300.0,,,
RoboPack-1,position_poll,position,892.0,,,,,0.0,200.0,,,
RoboPack-1,position_poll,position,893.0,,,,,0.0,100.0,,,
RoboPack-1,action,picked_up_2_packages,893.0,,,,,0.0,100.0,pickup_5,,
RoboPack-1,position_poll,position,894.0,,,,,0.0,100.0,,,
RoboPack-1,position_poll,position,895.0,,,,,100.0,100.0,,,
RoboPack-1,position_poll,position,896.0,,,,,200.0,100.0,,,
RoboPack-1,position_poll,position,897.0,,,,,300.0,100.0,,,
RoboPack-1,position_poll,position,898.0,,,,,300.0,200.0,,,
RoboPack-1,queue,pickup_5,898.0,,,,,300.0,300.0,,2.0,
RoboPack-1,position_poll,position,899.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,900.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,901.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,902.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,903.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,904.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,905.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,906.0,,,,,300.0,300.0,,,
RoboPack-1,position_poll,position,907.0,,,,,300.0,300.0,,,
