entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,x,y,package_count,task_duration_mins
RoboPack-3,position_poll,position,8.0,,,,,400.0,270.0,,
RoboPack-4,position_poll,position,8.0,,,,,180.0,270.0,,
RoboPack-5,position_poll,position,8.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,8.0,,,,,185.0,300.0,,
RoboPack-7,position_poll,position,8.0,,,,,300.0,300.0,,
RoboPack-8,position_poll,position,8.0,,,,,415.0,300.0,,
RoboPack-1,position_poll,position,9.0,,,,,70.0,470.0,,
RoboPack-2,position_poll,position,9.0,,,,,180.0,200.0,,
RoboPack-3,position_poll,position,9.0,,,,,500.0,270.0,,
RoboPack-4,position_poll,position,9.0,,,,,180.0,370.0,,
RoboPack-5,position_poll,position,9.0,,,,,370.0,300.0,,
RoboPack-6,position_poll,position,9.0,,,,,85.0,300.0,,
RoboPack-7,position_poll,position,9.0,,,,,370.0,300.0,,
RoboPack-8,position_poll,position,9.0,,,,,515.0,300.0,,
RoboPack-1,position_poll,position,10.0,,,,,70.0,500.0,,
RoboPack-2,position_poll,position,10.0,,,,,180.0,270.0,,
RoboPack-3,position_poll,position,10.0,,,,,550.0,270.0,,
RoboPack-4,position_poll,position,10.0,,,,,180.0,500.0,,
RoboPack-5,position_poll,position,10.0,,,,,370.0,200.0,,
RoboPack-6,position_poll,position,10.0,,,,,24.999999999999993,300.0,,
RoboPack-7,position_poll,position,10.0,,,,,370.0,200.0,,
RoboPack-8,position_poll,position,10.0,,,,,550.0,300.0,,
RoboPack-2,queue,pickup_6,10.35,,,,,285.0,270.0,3.0,
RoboPack-1,position_poll,position,11.0,,,,,70.0,400.0,,
RoboPack-2,position_poll,position,11.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,11.0,,,,,550.0,170.0,,
RoboPack-4,position_poll,position,11.0,,,,,180.0,400.0,,
RoboPack-5,position_poll,position,11.0,,,,,370.0,100.0,,
RoboPack-6,position_poll,position,11.0,,,,,24.999999999999993,200.0,,
RoboPack-7,position_poll,position,11.0,,,,,370.0,100.0,,
RoboPack-8,position_poll,position,11.0,,,,,550.0,400.0,,
RoboPack-1,position_poll,position,12.0,,,,,70.0,270.0,,
RoboPack-2,position_poll,position,12.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,12.0,,,,,550.0,100.0,,
RoboPack-4,position_poll,position,12.0,,,,,180.0,300.0,,
RoboPack-5,position_poll,position,12.0,,,,,370.0,100.0,,
RoboPack-6,position_poll,position,12.0,,,,,24.999999999999993,100.0,,
RoboPack-7,position_poll,position,12.0,,,,,370.0,200.0,,
RoboPack-8,position_poll,position,12.0,,,,,550.0,500.0,,
RoboPack-4,queue,pickup_2,12.950000000000001,,,,,315.0,270.0,1.0,
RoboPack-1,position_poll,position,13.0,,,,,170.0,270.0,,
RoboPack-2,position_poll,position,13.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,13.0,,,,,550.0,270.0,,
RoboPack-4,position_poll,position,13.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,13.0,,,,,370.0,270.0,,
RoboPack-6,position_poll,position,13.0,,,,,24.999999999999993,200.0,,
RoboPack-7,position_poll,position,13.0,,,,,370.0,270.0,,
RoboPack-8,position_poll,position,13.0,,,,,550.0,400.0,,
RoboPack-7,queue,pickup_7,13.399999999999999,,,,,300.0,300.0,4.0,
RoboPack-1,queue,pickup_3,13.600000000000001,,,,,270.0,270.0,5.0,
RoboPack-5,queue,pickup_7,13.7,,,,,270.0,300.0,3.0,
RoboPack-1,position_poll,position,14.0,,,,,270.0,270.0,,
RoboPack-2,position_poll,position,14.0,,,,,285.0,270.0,,
RoboPack-3,position_poll,position,14.0,,,,,450.0,270.0,,
RoboPack-4,position_poll,position,14.0,,,,,315.0,270.0,,
RoboPack-5,position_poll,position,14.0,,,,,270.0,300.0,,
RoboPack-6,position_poll,position,14.0,,,,,24.999999999999993,270.0,,
