,entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id
94,Car 19,queue,carwash_queue_wait_begins,104.0,,,,
95,Car 19,resource_use,carwashing_begins,104.0,,,,2.0
96,Car 18,resource_use_end,carwashing_ends,104.0,,,,1.0
97,Car 18,arrival_departure,depart,104.0,,,,
98,Car 20,arrival_departure,arrival,109.0,,,,
99,Car 20,queue,carwash_queue_wait_begins,109.0,,,,
100,Car 20,resource_use,carwashing_begins,109.0,,,,1.0
101,Car 19,resource_use_end,carwashing_ends,109.0,,,,2.0
102,Car 19,arrival_departure,depart,109.0,,,,
103,Car 20,resource_use_end,carwashing_ends,114.0,,,,1.0
104,Car 20,arrival_departure,depart,114.0,,,,
105,Car 21,arrival_departure,arrival,117.0,,,,
106,Car 21,queue,carwash_queue_wait_begins,117.0,,,,
107,Car 21,resource_use,carwashing_begins,117.0,,,,2.0
108,Car 21,resource_use_end,carwashing_ends,122.0,,,,2.0
109,Car 21,arrival_departure,depart,122.0,,,,
110,Car 22,arrival_departure,arrival,124.0,,,,
111,Car 22,queue,carwash_queue_wait_begins,124.0,,,,
112,Car 22,resource_use,carwashing_begins,124.0,,,,1.0
113,Car 22,resource_use_end,carwashing_ends,129.0,,,,1.0
114,Car 22,arrival_departure,depart,129.0,,,,
115,Car 23,arrival_departure,arrival,133.0,,,,
116,Car 23,queue,carwash_queue_wait_begins,133.0,,,,
117,Car 23,resource_use,carwashing_begins,133.0,,,,2.0
118,Car 24,arrival_departure,arrival,138.0,,,,
119,Car 24,queue,carwash_queue_wait_begins,138.0,,,,
120,Car 24,resource_use,carwashing_begins,138.0,,,,1.0
121,Car 23,resource_use_end,carwashing_ends,138.0,,,,2.0
122,Car 23,arrival_departure,depart,138.0,,,,
123,Car 24,resource_use_end,carwashing_ends,143.0,,,,1.0
124,Car 24,arrival_departure,depart,143.0,,,,
125,Car 25,arrival_departure,arrival,146.0,,,,
126,Car 25,queue,carwash_queue_wait_begins,146.0,,,,
127,Car 25,resource_use,carwashing_begins,146.0,,,,2.0
128,Car 25,resource_use_end,carwashing_ends,151.0,,,,2.0
129,Car 25,arrival_departure,depart,151.0,,,,
130,Car 26,arrival_departure,arrival,153.0,,,,
131,Car 26,queue,carwash_queue_wait_begins,153.0,,,,
132,Car 26,resource_use,carwashing_begins,153.0,,,,1.0
133,Car 26,resource_use_end,carwashing_ends,158.0,,,,1.0
134,Car 26,arrival_departure,depart,158.0,,,,
135,Car 27,arrival_departure,arrival,161.0,,,,
136,Car 27,queue,carwash_queue_wait_begins,161.0,,,,
137,Car 27,resource_use,carwashing_begins,161.0,,,,2.0
138,Car 27,resource_use_end,carwashing_ends,166.0,,,,2.0
139,Car 27,arrival_departure,depart,166.0,,,,
140,Car 28,arrival_departure,arrival,170.0,,,,
141,Car 28,queue,carwash_queue_wait_begins,170.0,,,,
142,Car 28,resource_use,carwashing_begins,170.0,,,,1.0
143,Car 28,resource_use_end,carwashing_ends,175.0,,,,1.0
144,Car 28,arrival_departure,depart,175.0,,,,
145,Car 29,arrival_departure,arrival,176.0,,,,
146,Car 29,queue,carwash_queue_wait_begins,176.0,,,,
147,Car 29,resource_use,carwashing_begins,176.0,,,,2.0
