entity_id,pathway,event_type,event,time,resource_id,run,activity_id,lifecycle_id
23,Simplest,queue,treatment_wait_begins,136.14268809914822,,0,39,start
23,Simplest,queue,treatment_wait_begins,141.29367863241043,,0,39,complete
24,Simplest,queue,treatment_wait_begins,141.29367863241043,,0,40,start
24,Simplest,queue,treatment_wait_begins,143.52282637945842,,0,40,complete
17,Simplest,resource_use,treatment_begins,143.52282637945842,1.0,0,41,start
17,Simplest,resource_use,treatment_begins,145.16641972227643,1.0,0,41,complete
25,Simplest,queue,treatment_wait_begins,145.16641972227643,,0,42,start
25,Simplest,queue,treatment_wait_begins,153.8548122724797,,0,42,complete
26,Simplest,queue,treatment_wait_begins,153.8548122724797,,0,43,start
26,Simplest,queue,treatment_wait_begins,155.92316270165324,,0,43,complete
27,Simplest,queue,treatment_wait_begins,155.92316270165324,,0,44,start
27,Simplest,queue,treatment_wait_begins,156.4916527214581,,0,44,complete
18,Simplest,resource_use,treatment_begins,156.4916527214581,2.0,0,45,start
18,Simplest,resource_use,treatment_begins,158.16421651839389,2.0,0,45,complete
28,Simplest,queue,treatment_wait_begins,158.16421651839389,,0,46,start
28,Simplest,queue,treatment_wait_begins,166.2127849073604,,0,46,complete
19,Simplest,resource_use,treatment_begins,166.2127849073604,4.0,0,47,start
19,Simplest,resource_use,treatment_begins,167.42467828329535,4.0,0,47,complete
29,Simplest,queue,treatment_wait_begins,167.42467828329535,,0,48,start
29,Simplest,queue,treatment_wait_begins,172.27046158049038,,0,48,complete
20,Simplest,resource_use,treatment_begins,172.27046158049038,3.0,0,49,start
20,Simplest,resource_use,treatment_begins,176.0507463339104,3.0,0,49,complete
30,Simplest,queue,treatment_wait_begins,176.0507463339104,,0,50,start
30,Simplest,queue,treatment_wait_begins,177.66804270166338,,0,50,complete
31,Simplest,queue,treatment_wait_begins,177.66804270166338,,0,51,start
31,Simplest,queue,treatment_wait_begins,178.72184980605485,,0,51,complete
32,Simplest,queue,treatment_wait_begins,178.72184980605485,,0,52,start
32,Simplest,queue,treatment_wait_begins,180.61323890144743,,0,52,complete
21,Simplest,resource_use,treatment_begins,180.61323890144743,1.0,0,53,start
21,Simplest,resource_use,treatment_begins,184.8383196048997,1.0,0,53,complete
33,Simplest,queue,treatment_wait_begins,184.8383196048997,,0,54,start
33,Simplest,queue,treatment_wait_begins,187.52994062125163,,0,54,complete
34,Simplest,queue,treatment_wait_begins,187.52994062125163,,0,55,start
34,Simplest,queue,treatment_wait_begins,191.80336608983848,,0,55,complete
35,Simplest,queue,treatment_wait_begins,191.80336608983848,,0,56,start
35,Simplest,queue,treatment_wait_begins,194.64994107799453,,0,56,complete
22,Simplest,resource_use,treatment_begins,194.64994107799453,2.0,0,57,start
22,Simplest,resource_use,treatment_begins,197.04697714118748,2.0,0,57,complete
36,Simplest,queue,treatment_wait_begins,197.04697714118748,,0,58,start
36,Simplest,queue,treatment_wait_begins,203.2078303606763,,0,58,complete
37,Simplest,queue,treatment_wait_begins,203.2078303606763,,0,59,start
37,Simplest,queue,treatment_wait_begins,207.9912856049465,,0,59,complete
23,Simplest,resource_use,treatment_begins,207.9912856049465,4.0,0,60,start
23,Simplest,resource_use,treatment_begins,217.46321519788984,4.0,0,60,complete
24,Simplest,resource_use,treatment_begins,217.46321519788984,3.0,0,61,start
24,Simplest,resource_use,treatment_begins,217.8486769272416,3.0,0,61,complete
38,Simplest,queue,treatment_wait_begins,217.8486769272416,,0,62,start
38,Simplest,queue,treatment_wait_begins,218.6171207201823,,0,62,complete
39,Simplest,queue,treatment_wait_begins,218.6171207201823,,0,63,start
39,Simplest,queue,treatment_wait_begins,219.6741700223405,,0,63,complete
25,Simplest,resource_use,treatment_begins,219.6741700223405,1.0,0,64,start
25,Simplest,resource_use,treatment_begins,225.9461452961114,1.0,0,64,complete
40,Simplest,queue,treatment_wait_begins,225.9461452961114,,0,65,start
40,Simplest,queue,treatment_wait_begins,231.5673329414577,,0,65,complete
41,Simplest,queue,treatment_wait_begins,231.5673329414577,,0,66,start
41,Simplest,queue,treatment_wait_begins,241.05758503310545,,0,66,complete
42,Simplest,queue,treatment_wait_begins,241.05758503310545,,0,67,start
42,Simplest,queue,treatment_wait_begins,241.7028958387244,,0,67,complete
26,Simplest,resource_use,treatment_begins,241.7028958387244,2.0,0,68,start
26,Simplest,resource_use,treatment_begins,244.0525449038365,2.0,0,68,complete
43,Simplest,queue,treatment_wait_begins,244.0525449038365,,0,69,start
43,Simplest,queue,treatment_wait_begins,244.5273598631813,,0,69,complete
27,Simplest,resource_use,treatment_begins,244.5273598631813,4.0,0,70,start
27,Simplest,resource_use,treatment_begins,246.39596822543595,4.0,0,70,complete
44,Simplest,queue,treatment_wait_begins,246.39596822543595,,0,71,start
44,Simplest,queue,treatment_wait_begins,250.4815048078238,,0,71,complete
45,Simplest,queue,treatment_wait_begins,250.4815048078238,,0,72,start
45,Simplest,queue,treatment_wait_begins,251.80385119959348,,0,72,complete
46,Simplest,queue,treatment_wait_begins,251.80385119959348,,0,73,start
46,Simplest,queue,treatment_wait_begins,255.5329636446196,,0,73,complete
47,Simplest,queue,treatment_wait_begins,255.5329636446196,,0,74,start
47,Simplest,queue,treatment_wait_begins,256.0632739245127,,0,74,complete
48,Simplest,queue,treatment_wait_begins,256.0632739245127,,0,75,start
48,Simplest,queue,treatment_wait_begins,258.9301318985098,,0,75,complete
28,Simplest,resource_use,treatment_begins,258.9301318985098,3.0,0,76,start
28,Simplest,resource_use,treatment_begins,264.0912322869968,3.0,0,76,complete
29,Simplest,resource_use,treatment_begins,264.0912322869968,1.0,0,77,start
29,Simplest,resource_use,treatment_begins,264.29801089286434,1.0,0,77,complete
49,Simplest,queue,treatment_wait_begins,264.29801089286434,,0,78,start
49,Simplest,queue,treatment_wait_begins,275.6942017307609,,0,78,complete
50,Simplest,queue,treatment_wait_begins,275.6942017307609,,0,79,start
50,Simplest,queue,treatment_wait_begins,278.4547141034504,,0,79,complete
51,Simplest,queue,treatment_wait_begins,278.4547141034504,,0,80,start
51,Simplest,queue,treatment_wait_begins,280.7089326715353,,0,80,complete
